name,category,url
Draw Rectangle,Design,https://docs.vectric.com/docs/V12.0/Aspire/ENU/Help/form/Draw%20Rectangle/index.html
Draw Star,Design,https://docs.vectric.com/docs/V12.0/Aspire/ENU/Help/form/Draw%20Star/index.html
Edit Picture,Design,https://docs.vectric.com/docs/V12.0/Aspire/ENU/Help/form/Edit%20Picture/index.html
Extend Vectors,Design,https://docs.vectric.com/docs/V12.0/Aspire/ENU/Help/form/Extend%20Vectors/index.html
Fit Curves To Vectors,Design,https://docs.vectric.com/docs/V12.0/Aspire/ENU/Help/form/Fit%20Curves%20to%20Vectors/index.html
Freehand Drawing,Design,https://docs.vectric.com/docs/V12.0/Aspire/ENU/Help/form/Freehand%20Draw/index.html
Group Selected Objects,Design,https://docs.vectric.com/docs/V12.0/Aspire/ENU/Help/form/group-selected-objects/index.html
Grouping and Ungrouping,Design,https://docs.vectric.com/docs/V12.0/Aspire/ENU/Help/form/grouping-and-ungrouping/index.html
Import Bitmap / Vectors,Design,https://docs.vectric.com/docs/V12.0/Aspire/ENU/Help/form/import-vectors/index.html
Import Component / 3D Model,Design,https://docs.vectric.com/docs/V12.0/Aspire/ENU/Help/form/import-bitmap/index.html
Interactive Selection Mode,Design,https://docs.vectric.com/docs/V12.0/Aspire/ENU/Help/form/interactive-selection-mode/index.html
Interactive Vector Trim,Design,https://docs.vectric.com/docs/V12.0/Aspire/ENU/Help/form/Interactive%20Vector%20Trim/index.html
Join / Close Vector with a Smooth Curve,Design,https://docs.vectric.com/docs/V12.0/Aspire/ENU/Help/form/join-close-vector-with-a-smooth-curve/index.html
Join / Close Vector with a Straight Line,Design,https://docs.vectric.com/docs/V12.0/Aspire/ENU/Help/form/join-close-vector-with-a-straight-line/index.html
Join Open Vectors,Design,https://docs.vectric.com/docs/V12.0/Aspire/ENU/Help/form/Join%20Vectors/index.html
Join/Close by Moving End Points,Design,https://docs.vectric.com/docs/V12.0/Aspire/ENU/Help/form/join-close-by-moving-end-points/index.html
Measure - Inspect,Design,https://docs.vectric.com/docs/V12.0/Aspire/ENU/Help/form/Measure%20-%20Inspect/index.html
Mirror,Design,https://docs.vectric.com/docs/V12.0/Aspire/ENU/Help/form/Mirror/index.html
Move Selection,Design,https://docs.vectric.com/docs/V12.0/Aspire/ENU/Help/form/Move%20Selection/index.html
